pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Arginine and proline metabolism - Homo sapiens (human),KEGG,0,,50 (51),1,1,3,HMDB00162;HMDB00517;HMDB00562,60 (78),0.121,1,0.376,0.725
Signaling by Nuclear Receptors,Reactome,2,TFF3;CXCL12,294 (295),0.577,1,2,HMDB00277;HMDB00517,42 (49),0.209,1,0.376,0.725
superpathway of purine nucleotide salvage,HumanCyc,0,,59 (59),1,1,2,HMDB00641;HMDB00191,30 (30),0.123,1,0.38,0.725
Phenylalanine and tyrosine metabolism,Reactome,0,,13 (13),1,1,2,HMDB00191;HMDB00158,30 (33),0.123,1,0.38,0.725
Urokinase Action Pathway,SMPDB,1,F7,20 (20),0.123,1,0,,4 (4),1,1,0.381,0.725
Alteplase Action Pathway,SMPDB,1,F7,20 (20),0.123,1,0,,4 (4),1,1,0.381,0.725
Regulation of expression of SLITs and ROBOs,Reactome,1,ROBO2,20 (20),0.123,1,0,,1 (1),1,1,0.381,0.725
Aminocaproic Acid Action Pathway,SMPDB,1,F7,20 (20),0.123,1,0,,5 (5),1,1,0.381,0.725
Tranexamic Acid Action Pathway,SMPDB,1,F7,20 (20),0.123,1,0,,5 (5),1,1,0.381,0.725
Reteplase Action Pathway,SMPDB,1,F7,20 (20),0.123,1,0,,4 (4),1,1,0.381,0.725
Streptokinase Action Pathway,SMPDB,1,F7,20 (20),0.123,1,0,,4 (4),1,1,0.381,0.725
Tenecteplase Action Pathway,SMPDB,1,F7,20 (20),0.123,1,0,,4 (4),1,1,0.381,0.725
Anistreplase Action Pathway,SMPDB,1,F7,20 (20),0.123,1,0,,4 (4),1,1,0.381,0.725
Aprotinin Action Pathway,SMPDB,1,F7,20 (20),0.123,1,0,,4 (4),1,1,0.381,0.725
Phenindione Action Pathway,SMPDB,1,F7,20 (20),0.123,1,0,,5 (5),1,1,0.381,0.725
Dicoumarol Action Pathway,SMPDB,1,F7,20 (20),0.123,1,0,,5 (5),1,1,0.381,0.725
Warfarin Action Pathway,SMPDB,1,F7,20 (20),0.123,1,0,,5 (5),1,1,0.381,0.725
Acenocoumarol Action Pathway,SMPDB,1,F7,20 (20),0.123,1,0,,4 (5),1,1,0.381,0.725
Coagulation ,SMPDB,1,F7,20 (20),0.123,1,0,,4 (4),1,1,0.381,0.725
Bivalirudin Action Pathway,SMPDB,1,F7,20 (20),0.123,1,0,,4 (4),1,1,0.381,0.725
Argatroban Action Pathway,SMPDB,1,F7,20 (20),0.123,1,0,,5 (5),1,1,0.381,0.725
Phenprocoumon Action Pathway,SMPDB,1,F7,20 (20),0.123,1,0,,4 (5),1,1,0.381,0.725
Dicumarol Action Pathway,SMPDB,1,F7,20 (20),0.123,1,0,,5 (5),1,1,0.381,0.725
Ximelagatran Action Pathway,SMPDB,1,F7,20 (20),0.123,1,0,,4 (5),1,1,0.381,0.725
Lepirudin Action Pathway,SMPDB,1,F7,20 (20),0.123,1,0,,4 (4),1,1,0.381,0.725
Glycosphingolipid metabolism,Reactome,1,SMPD1,46 (46),0.261,1,1,HMDB13464,31 (38),0.473,1,0.382,0.725
Allograft Rejection,Wikipathways,2,CXCL12;CD28,93 (93),0.124,1,0,,4 (10),1,1,0.383,0.725
Post-translational modification: synthesis of GPI-anchored proteins,Reactome,2,LYPD3;MDGA1,94 (94),0.126,1,0,,12 (22),1,1,0.387,0.725
MAPK signaling pathway - Homo sapiens (human),KEGG,4,ERBB3;HGF;PGF;NFATC3,294 (294),0.127,1,0,,5 (5),1,1,0.389,0.725
Dopaminergic synapse - Homo sapiens (human),KEGG,1,DDC,132 (132),0.582,1,1,HMDB00158,12 (12),0.219,1,0.389,0.725
Androgen and estrogen biosynthesis and metabolism,EHMN,1,HSD11B1,87 (87),0.437,1,2,HMDB02829;HMDB06766,53 (62),0.293,1,0.391,0.725
HS-GAG degradation,Reactome,1,GUSB,21 (21),0.129,1,0,,10 (22),1,1,0.393,0.725
Negative regulation of MET activity,Reactome,1,HGF,21 (21),0.129,1,0,,4 (5),1,1,0.393,0.725
Metabolism of cofactors,Reactome,1,PTS,21 (21),0.129,1,0,,41 (48),1,1,0.393,0.725
CD28 dependent PI3K/Akt signaling,Reactome,1,CD28,21 (21),0.129,1,0,,3 (4),1,1,0.393,0.725
Ardeparin Action Pathway,SMPDB,1,F7,21 (21),0.129,1,0,,4 (4),1,1,0.393,0.725
Heparin Action Pathway,SMPDB,1,F7,21 (21),0.129,1,0,,5 (5),1,1,0.393,0.725
Fondaparinux Action Pathway,SMPDB,1,F7,21 (21),0.129,1,0,,4 (5),1,1,0.393,0.725
Enoxaparin Action Pathway,SMPDB,1,F7,21 (21),0.129,1,0,,5 (5),1,1,0.393,0.725
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,Reactome,0,,13 (13),1,1,2,HMDB01388;HMDB00673,31 (42),0.13,1,0.394,0.725
Retinol Metabolism,SMPDB,0,,37 (37),1,1,2,HMDB03598;HMDB0007982#HMDB0007938,31 (32),0.13,1,0.394,0.725
Endogenous sterols,Reactome,0,,18 (18),1,1,2,HMDB00063;HMDB01830,31 (40),0.13,1,0.394,0.725
Vitamin A Deficiency,SMPDB,0,,37 (37),1,1,2,HMDB03598;HMDB0007982#HMDB0007938,31 (32),0.13,1,0.394,0.725
Metabolism of fat-soluble vitamins,Reactome,1,APOM,49 (49),0.276,1,1,HMDB00673,31 (49),0.473,1,0.396,0.725
Monoamine GPCRs,Wikipathways,0,,34 (34),1,1,1,HMDB00895,7 (8),0.134,1,0.403,0.725
D-Glutamine and D-glutamate metabolism - Homo sapiens (human),KEGG,0,,5 (5),1,1,1,HMDB00641,7 (13),0.134,1,0.403,0.725
Acetylcholine Neurotransmitter Release Cycle,Reactome,0,,17 (17),1,1,1,HMDB00895,7 (7),0.134,1,0.403,0.725
Glutamate binding_ activation of AMPA receptors and synaptic plasticity,Reactome,0,,30 (30),1,1,1,HMDB10164,7 (8),0.134,1,0.403,0.725
glutamine biosynthesis,HumanCyc,0,,1 (1),1,1,1,HMDB00641,7 (7),0.134,1,0.403,0.725
Conjugation of benzoate with glycine,Reactome,0,,6 (6),1,1,1,HMDB0000714,7 (8),0.134,1,0.403,0.725
Conjugation of phenylacetate with glutamine,Reactome,0,,2 (2),1,1,1,HMDB00641,7 (9),0.134,1,0.403,0.725
choline degradation,HumanCyc,0,,2 (2),1,1,1,HMDB00043,7 (7),0.134,1,0.403,0.725
Scavenging by Class H Receptors,Reactome,0,,4 (4),1,1,1,HMDB10164,7 (11),0.134,1,0.403,0.725
Nicotine addiction - Homo sapiens (human),KEGG,0,,40 (40),1,1,1,HMDB00895,7 (7),0.134,1,0.403,0.725
Fc gamma R-mediated phagocytosis - Homo sapiens (human),KEGG,0,,96 (97),1,1,1,HMDB00277,7 (8),0.134,1,0.403,0.725
Acetylcholine regulates insulin secretion,Reactome,0,,10 (10),1,1,1,HMDB00895,7 (10),0.134,1,0.403,0.725
phosphatidylcholine biosynthesis pathway,BioCarta,0,,3 (3),1,1,1,HMDB0007982#HMDB0007938,7 (8),0.134,1,0.403,0.725
putrescine biosynthesis II,HumanCyc,0,,2 (2),1,1,1,HMDB00517,7 (7),0.134,1,0.403,0.725
Corticotropin Activation of Cortisol Production,SMPDB,0,,7 (7),1,1,1,HMDB00063,7 (7),0.134,1,0.403,0.725
Effects of nitric oxide,Wikipathways,0,,8 (8),1,1,1,HMDB00517,7 (7),0.134,1,0.403,0.725
heparan sulfate biosynthesis (late stages),HumanCyc,1,HS6ST1,22 (22),0.135,1,0,,8 (8),1,1,0.405,0.725
Signaling by ERBB2 TMD/JMD mutants,Reactome,1,ERBB3,22 (22),0.135,1,0,,5 (6),1,1,0.405,0.725
Interleukin-6 family signaling,Reactome,1,OSMR,22 (22),0.135,1,0,,2 (2),1,1,0.405,0.725
Regulation of necroptotic cell death,Reactome,1,TNFRSF10A,22 (22),0.135,1,0,,6 (10),1,1,0.405,0.725
RIPK1-mediated regulated necrosis,Reactome,1,TNFRSF10A,22 (22),0.135,1,0,,8 (14),1,1,0.405,0.725
cystic fibrosis transmembrane conductance regulator (cftr) and beta 2 adrenergic receptor (b2ar) pathway,BioCarta,1,CXCL12,22 (22),0.135,1,0,,5 (7),1,1,0.405,0.725
Nicotinate and nicotinamide metabolism - Homo sapiens (human),KEGG,0,,35 (35),1,1,2,HMDB00855;HMDB00191,32 (55),0.137,1,0.408,0.731
Blood Clotting Cascade,Wikipathways,1,F7,23 (23),0.14,1,0,,1 (2),1,1,0.416,0.738
Sphingolipid Metabolism (general overview),Wikipathways,1,SMPD1,23 (23),0.14,1,0,,7 (10),1,1,0.416,0.738
Renin-angiotensin system - Homo sapiens (human),KEGG,1,ATP6AP2,23 (23),0.14,1,0,,4 (11),1,1,0.416,0.738
Laminin interactions,Reactome,1,NID1,23 (23),0.14,1,0,,1 (2),1,1,0.416,0.738
Histidine degradation,INOH,1,AOC3,23 (23),0.14,1,0,,26 (28),1,1,0.416,0.738
Focal Adhesion,Wikipathways,3,ITGA11;HGF;PGF,198 (198),0.14,1,0,,1 (2),1,1,0.416,0.738
Lysine degradation,INOH,0,,22 (22),1,1,2,HMDB06831;HMDB01325,33 (36),0.144,1,0.422,0.742
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis,HumanCyc,0,,22 (22),1,1,2,HMDB00641;HMDB00191,33 (34),0.144,1,0.422,0.742
Disease,Reactome,7,LHB;ADM;HGF;CD28;CRH;ERBB3;TSHB,1029 (1029),0.516,1,3,HMDB00855;HMDB0000619;HMDB0000518,91 (198),0.281,1,0.425,0.742
Focal adhesion - Homo sapiens (human),KEGG,3,ITGA11;HGF;PGF,201 (201),0.145,1,0,,1 (2),1,1,0.425,0.742
Sphingolipid Metabolism (integrated pathway),Wikipathways,1,SMPD1,24 (24),0.146,1,0,,7 (10),1,1,0.427,0.742
Plexin-D1 Signaling,PID,1,ITGA11,24 (24),0.146,1,0,,2 (2),1,1,0.427,0.742
Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human),KEGG,1,HS6ST1,24 (24),0.146,1,0,,3 (7),1,1,0.427,0.742
regulation of ck1/cdk5 by type 1 glutamate receptors,BioCarta,1,NCS1,24 (24),0.146,1,0,,6 (7),1,1,0.427,0.742
Degradation of the extracellular matrix,Reactome,2,NID1;CTSV,103 (103),0.146,1,0,,6 (8),1,1,0.427,0.742
T cell receptor signaling pathway - Homo sapiens (human),KEGG,2,CD28;NFATC3,104 (104),0.149,1,0,,4 (4),1,1,0.432,0.742
C-type lectin receptor signaling pathway - Homo sapiens (human),KEGG,2,LSP1;NFATC3,104 (104),0.149,1,0,,6 (12),1,1,0.432,0.742
superpathway of methionine degradation,HumanCyc,0,,19 (19),1,1,2,HMDB00092;HMDB00043,34 (36),0.151,1,0.436,0.742
Branched-chain amino acid catabolism,Reactome,0,,21 (21),1,1,2,HMDB00172;HMDB00687,34 (39),0.151,1,0.436,0.742
Valine_ leucine and isoleucine degradation - Homo sapiens (human),KEGG,0,,48 (48),1,1,2,HMDB00172;HMDB00687,34 (42),0.151,1,0.436,0.742
superpathway of steroid hormone biosynthesis,HumanCyc,0,,17 (17),1,1,2,HMDB00063;HMDB01830,34 (35),0.151,1,0.436,0.742
Nicotinate and Nicotinamide Metabolism,SMPDB,0,,14 (14),1,1,2,HMDB00641;HMDB00855,34 (35),0.151,1,0.436,0.742
cAMP signaling pathway - Homo sapiens (human),KEGG,2,LHB;TSHB,216 (216),0.415,1,1,HMDB00895,22 (25),0.364,1,0.437,0.742
Statin inhibition of cholesterol production,Wikipathways,0,,31 (31),1,1,1,HMDB0000619,8 (17),0.152,1,0.438,0.742
D-Arginine and D-ornithine metabolism - Homo sapiens (human),KEGG,0,,1 (1),1,1,1,HMDB00517,8 (11),0.152,1,0.438,0.742
L-dopachrome biosynthesis,HumanCyc,0,,1 (1),1,1,1,HMDB00158,8 (8),0.152,1,0.438,0.742
Glutamate Neurotransmitter Release Cycle,Reactome,0,,23 (23),1,1,1,HMDB00641,8 (8),0.152,1,0.438,0.742
African trypanosomiasis - Homo sapiens (human),KEGG,0,,36 (37),1,1,1,HMDB00929,8 (8),0.152,1,0.438,0.742
malate-aspartate shuttle,HumanCyc,0,,5 (5),1,1,1,HMDB00191,8 (8),0.152,1,0.438,0.742
Glutamatergic synapse - Homo sapiens (human),KEGG,0,,114 (114),1,1,1,HMDB00641,8 (8),0.152,1,0.438,0.742
creatine biosynthesis,HumanCyc,0,,2 (2),1,1,1,HMDB00517,8 (8),0.152,1,0.438,0.742
allopregnanolone biosynthesis,HumanCyc,0,,6 (6),1,1,1,HMDB01830,8 (8),0.152,1,0.438,0.742
Signaling events mediated by VEGFR1 and VEGFR2,PID,0,,68 (68),1,1,1,HMDB00517,8 (8),0.152,1,0.438,0.742
Apelin signaling pathway - Homo sapiens (human),KEGG,0,,137 (137),1,1,1,HMDB00277,8 (9),0.152,1,0.438,0.742
Aldosterone-regulated sodium reabsorption - Homo sapiens (human),KEGG,0,,37 (37),1,1,1,HMDB00063,8 (8),0.152,1,0.438,0.742
Signaling by ERBB2 KD Mutants,Reactome,1,ERBB3,25 (25),0.152,1,0,,6 (10),1,1,0.438,0.742
Signaling by ERBB2 in Cancer,Reactome,1,ERBB3,25 (25),0.152,1,0,,6 (10),1,1,0.438,0.742
Caspase activation via extrinsic apoptotic signalling pathway,Reactome,1,TNFRSF10A,26 (26),0.157,1,0,,3 (3),1,1,0.448,0.757
Interleukin-7 signaling,Reactome,1,HGF,26 (26),0.157,1,0,,2 (2),1,1,0.448,0.757
Phase I - Functionalization of compounds,Reactome,1,AOC3,101 (101),0.486,1,4,HMDB00855;HMDB00063;HMDB00517;HMDB01830,143 (191),0.33,1,0.454,0.765
Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human),KEGG,1,B4GALT1,27 (27),0.163,1,0,,1 (54),1,1,0.458,0.765
Pyrimidine metabolism,EHMN,0,,135 (135),1,1,3,HMDB00641;HMDB00191;HMDB03911,69 (77),0.163,1,0.459,0.765
Valine Leucine Isoleucine degradation,INOH,0,,32 (32),1,1,2,HMDB00172;HMDB00687,36 (40),0.165,1,0.462,0.765
Purine ribonucleoside monophosphate biosynthesis,Reactome,0,,12 (12),1,1,2,HMDB00641;HMDB00191,36 (37),0.165,1,0.462,0.765
role of erbb2 in signal transduction and oncology,BioCarta,1,ERBB3,28 (28),0.168,1,0,,2 (2),1,1,0.468,0.765
Transport of fatty acids,Reactome,0,,8 (8),1,1,1,HMDB00673,9 (10),0.169,1,0.469,0.765
Neuroinflammation,Wikipathways,0,,14 (14),1,1,1,HMDB00517,9 (11),0.169,1,0.469,0.765
Amino acid conjugation of benzoic acid,Wikipathways,0,,4 (4),1,1,1,HMDB0000714,9 (11),0.169,1,0.469,0.765
Miscellaneous transport and binding events,Reactome,0,,24 (24),1,1,1,HMDB00517,9 (11),0.169,1,0.469,0.765
Association Between Physico-Chemical Features and Toxicity Associated Pathways,Wikipathways,0,,65 (65),1,1,1,HMDB00517,9 (9),0.169,1,0.469,0.765
actions of nitric oxide in the heart,BioCarta,0,,42 (42),1,1,1,HMDB00517,9 (10),0.169,1,0.469,0.765
proline degradation,HumanCyc,0,,2 (2),1,1,1,HMDB00162,9 (10),0.169,1,0.469,0.765
SUMOylation,Reactome,0,,182 (182),1,1,1,HMDB00063,9 (11),0.169,1,0.469,0.765
Carboxyterminal post-translational modifications of tubulin,Reactome,0,,42 (42),1,1,1,HMDB00158,9 (10),0.169,1,0.469,0.765
VEGFR2 mediated cell proliferation,Reactome,0,,20 (20),1,1,1,HMDB00277,9 (10),0.169,1,0.469,0.765
&gamma;-linolenate biosynthesis,HumanCyc,0,,14 (14),1,1,1,HMDB00673,9 (9),0.169,1,0.469,0.765
Plasma membrane estrogen receptor signaling,PID,0,,42 (42),1,1,1,HMDB00517,9 (9),0.169,1,0.469,0.765
UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II,HumanCyc,0,,5 (5),1,1,1,HMDB00641,9 (11),0.169,1,0.469,0.765
GABAergic synapse - Homo sapiens (human),KEGG,0,,89 (89),1,1,1,HMDB00641,9 (9),0.169,1,0.469,0.765
Phospholipase D signaling pathway - Homo sapiens (human),KEGG,0,,147 (148),1,1,1,HMDB00277,9 (11),0.169,1,0.469,0.765
L-glutamine tRNA biosynthesis,HumanCyc,0,,2 (2),1,1,1,HMDB00641,9 (9),0.169,1,0.469,0.765
MTOR signalling,Reactome,0,,41 (41),1,1,1,HMDB00517,9 (9),0.169,1,0.469,0.765
Malate-Aspartate Shuttle,SMPDB,0,,4 (4),1,1,1,HMDB00191,9 (10),0.169,1,0.469,0.765
Phenylacetate Metabolism,SMPDB,0,,3 (3),1,1,1,HMDB00641,9 (9),0.169,1,0.469,0.765
PIP3 activates AKT signaling,Reactome,3,ERBB3;HGF;CD28,218 (218),0.172,1,0,,15 (21),1,1,0.474,0.77
purine nucleotides <i>de novo</i> biosynthesis,HumanCyc,0,,59 (59),1,1,2,HMDB00641;HMDB00191,37 (37),0.172,1,0.475,0.77
heparan sulfate biosynthesis,HumanCyc,1,HS6ST1,29 (29),0.174,1,0,,10 (10),1,1,0.478,0.77
Dectin-2 family,Reactome,1,CLEC4A,29 (29),0.174,1,0,,3 (4),1,1,0.478,0.77
Downregulation of ERBB2 signaling,Reactome,1,ERBB3,29 (29),0.174,1,0,,4 (4),1,1,0.478,0.77
Beta2 integrin cell surface interactions,PID,1,TGFBI,29 (29),0.174,1,0,,1 (1),1,1,0.478,0.77
Regulated Necrosis,Reactome,1,TNFRSF10A,29 (29),0.174,1,0,,8 (16),1,1,0.478,0.77
Plasma lipoprotein clearance,Reactome,1,PCSK9,29 (29),0.174,1,0,,5 (9),1,1,0.478,0.77
Calcium signaling in the CD4+ TCR pathway,PID,1,NFATC3,29 (29),0.174,1,0,,1 (2),1,1,0.478,0.77
Metabolism of vitamins and cofactors,Reactome,2,APOM;PTS,180 (180),0.33,1,3,HMDB00641;HMDB00855;HMDB00673,136 (188),0.528,1,0.479,0.771
T-Cell Receptor and Co-stimulatory Signaling,Wikipathways,1,CD28,30 (30),0.179,1,0,,4 (4),1,1,0.487,0.78
-arrestins in gpcr desensitization,BioCarta,1,CXCL12,30 (30),0.179,1,0,,3 (4),1,1,0.487,0.78
bile acid biosynthesis_ neutral pathway,HumanCyc,0,,15 (15),1,1,2,HMDB03533;HMDB00138,38 (44),0.18,1,0.488,0.78
Peroxisomal lipid metabolism,Reactome,0,,30 (30),1,1,2,HMDB00201;HMDB00824,38 (61),0.18,1,0.488,0.78
Generic Transcription Pathway,Reactome,5,CRH;RETN;CTSV;TNFRSF10A;IGFBP3,1177 (1178),0.894,1,2,HMDB00641;HMDB00063,41 (55),0.202,1,0.489,0.78
Galactose metabolism - Homo sapiens (human),KEGG,1,B4GALT1,31 (31),0.185,1,0,,30 (46),1,1,0.496,0.78
HS-GAG biosynthesis,Reactome,1,HS6ST1,31 (31),0.185,1,0,,9 (9),1,1,0.496,0.78
Nuclear signaling by ERBB4,Reactome,1,CXCL12,31 (31),0.185,1,0,,1 (2),1,1,0.496,0.78
activation of camp-dependent protein kinase pka,BioCarta,1,CXCL12,31 (31),0.185,1,0,,5 (6),1,1,0.496,0.78
Folate metabolism,INOH,1,PTS,31 (31),0.185,1,0,,43 (46),1,1,0.496,0.78
Amyotrophic lateral sclerosis (ALS),Wikipathways,0,,35 (35),1,1,1,HMDB00517,10 (11),0.186,1,0.498,0.78
melatonin degradation I,HumanCyc,0,,12 (12),1,1,1,HMDB10351,10 (13),0.186,1,0.498,0.78
Proline catabolism,Reactome,0,,3 (3),1,1,1,HMDB00162,10 (11),0.186,1,0.498,0.78
phenylalanine degradation/tyrosine biosynthesis,HumanCyc,0,,4 (4),1,1,1,HMDB00158,10 (11),0.186,1,0.498,0.78
asparagine degradation,HumanCyc,0,,5 (5),1,1,1,HMDB00191,10 (10),0.186,1,0.498,0.78
Insulin secretion - Homo sapiens (human),KEGG,0,,86 (86),1,1,1,HMDB00895,10 (12),0.186,1,0.498,0.78
Amyotrophic lateral sclerosis - Homo sapiens (human),KEGG,0,,364 (364),1,1,1,HMDB00517,10 (14),0.186,1,0.498,0.78
p75 NTR receptor-mediated signalling,Reactome,0,,96 (96),1,1,1,HMDB13464,10 (11),0.186,1,0.498,0.78
Angiopoietin receptor Tie2-mediated signaling,PID,0,,50 (50),1,1,1,HMDB00517,10 (11),0.186,1,0.498,0.78
Synthesis of PG,Reactome,0,,9 (9),1,1,1,HMDB0007982#HMDB0007938,10 (13),0.186,1,0.498,0.78
mineralocorticoid biosynthesis,HumanCyc,0,,3 (3),1,1,1,HMDB01830,10 (10),0.186,1,0.498,0.78
Vitamin B12 metabolism,Wikipathways,1,F7,51 (51),0.285,1,1,HMDB00562,51 (61),0.652,1,0.499,0.78
Platelet activation_ signaling and aggregation,Reactome,2,HGF;RARRES2,263 (263),0.517,1,1,HMDB10164,22 (28),0.364,1,0.503,0.783
Initiation of transcription and translation elongation at the HIV-1 LTR,Wikipathways,1,NFATC3,32 (32),0.19,1,0,,1 (1),1,1,0.505,0.783
role of -arrestins in the activation and targeting of map kinases,BioCarta,1,CXCL12,32 (32),0.19,1,0,,3 (4),1,1,0.505,0.783
CD28 co-stimulation,Reactome,1,CD28,32 (32),0.19,1,0,,5 (6),1,1,0.505,0.783
Lysine degradation - Homo sapiens (human),KEGG,0,,63 (63),1,1,2,HMDB06831;HMDB01325,40 (50),0.194,1,0.513,0.783
Nicotinate metabolism,Reactome,0,,24 (24),1,1,2,HMDB00641;HMDB00855,40 (50),0.194,1,0.513,0.783
Cell-Cell communication,Reactome,2,PVR;NECTIN2,124 (124),0.195,1,0,,3 (4),1,1,0.514,0.783
Circadian Clock,Reactome,1,F7,33 (33),0.195,1,0,,2 (3),1,1,0.514,0.783
Pyrimidine metabolism - Homo sapiens (human),KEGG,1,DCTPP1,57 (57),0.313,1,1,HMDB00641,49 (65),0.637,1,0.521,0.783
Methionine Cysteine metabolism,INOH,0,,24 (24),1,1,2,HMDB00092;HMDB00043,41 (45),0.202,1,0.525,0.783
S-Adenosylhomocysteine (SAH) Hydrolase Deficiency,SMPDB,0,,20 (20),1,1,2,HMDB00092;HMDB00043,41 (42),0.202,1,0.525,0.783
Methionine Adenosyltransferase Deficiency,SMPDB,0,,20 (20),1,1,2,HMDB00092;HMDB00043,41 (42),0.202,1,0.525,0.783
Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),SMPDB,0,,20 (20),1,1,2,HMDB00092;HMDB00043,41 (42),0.202,1,0.525,0.783
Homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism_ cblG complementation type,SMPDB,0,,20 (20),1,1,2,HMDB00092;HMDB00043,41 (42),0.202,1,0.525,0.783
Methionine Metabolism,SMPDB,0,,20 (20),1,1,2,HMDB00092;HMDB00043,41 (42),0.202,1,0.525,0.783
Glycine N-methyltransferase Deficiency,SMPDB,0,,20 (20),1,1,2,HMDB00092;HMDB00043,41 (42),0.202,1,0.525,0.783
Hypermethioninemia,SMPDB,0,,20 (20),1,1,2,HMDB00092;HMDB00043,41 (42),0.202,1,0.525,0.783
Cystathionine Beta-Synthase Deficiency,SMPDB,0,,20 (20),1,1,2,HMDB00092;HMDB00043,41 (42),0.202,1,0.525,0.783
Apoptosis,Reactome,2,TNFRSF10A;DSG3,127 (127),0.202,1,0,,5 (8),1,1,0.525,0.783
Neurotransmitter Disorders,Wikipathways,0,,1 (1),1,1,1,HMDB00929,11 (16),0.202,1,0.526,0.783
phosphatidylcholine biosynthesis,HumanCyc,0,,7 (7),1,1,1,HMDB0007982#HMDB0007938,11 (12),0.202,1,0.526,0.783
Scavenging by Class A Receptors,Reactome,0,,19 (19),1,1,1,HMDB10164,11 (32),0.202,1,0.526,0.783
Biosynthesis of E-series 18(S)-resolvins,Reactome,0,,5 (5),1,1,1,HMDB01999,11 (20),0.202,1,0.526,0.783
Calcium Regulation in the Cardiac Cell,Wikipathways,0,,151 (151),1,1,1,HMDB00895,11 (11),0.202,1,0.526,0.783
UTP and CTP <i>de novo</i> biosynthesis,HumanCyc,0,,13 (13),1,1,1,HMDB00641,11 (11),0.202,1,0.526,0.783
UTP and CTP dephosphorylation II,HumanCyc,0,,4 (4),1,1,1,HMDB00641,11 (11),0.202,1,0.526,0.783
Role of phospholipids in phagocytosis,Reactome,0,,105 (105),1,1,1,HMDB0007982#HMDB0007938,11 (13),0.202,1,0.526,0.783
Nitric oxide stimulates guanylate cyclase,Reactome,0,,23 (23),1,1,1,HMDB00517,11 (11),0.202,1,0.526,0.783
Alpha9 beta1 integrin signaling events,PID,0,,25 (25),1,1,1,HMDB00517,11 (11),0.202,1,0.526,0.783
Visual signal transduction: Rods,PID,0,,24 (24),1,1,1,HMDB0007982#HMDB0007938,11 (13),0.202,1,0.526,0.783
Transcriptional regulation by RUNX2,Reactome,0,,73 (73),1,1,1,HMDB00063,11 (13),0.202,1,0.526,0.783
Cholinergic synapse - Homo sapiens (human),KEGG,0,,113 (113),1,1,1,HMDB00895,11 (12),0.202,1,0.526,0.783
Synaptic vesicle cycle - Homo sapiens (human),KEGG,0,,78 (78),1,1,1,HMDB00895,11 (12),0.202,1,0.526,0.783
Renin-angiotensin-aldosterone system (RAAS),Wikipathways,0,,44 (44),1,1,1,HMDB01830,11 (12),0.202,1,0.526,0.783
Esomeprazole Action Pathway,SMPDB,0,,11 (11),1,1,1,HMDB00895,11 (13),0.202,1,0.526,0.783
Gastric Acid Production,SMPDB,0,,11 (11),1,1,1,HMDB00895,11 (12),0.202,1,0.526,0.783
Ranitidine Action Pathway,SMPDB,0,,11 (11),1,1,1,HMDB00895,11 (13),0.202,1,0.526,0.783
Histidine metabolism,EHMN,1,AOC3,35 (35),0.206,1,0,,43 (45),1,1,0.531,0.786
Arf6 signaling events,PID,1,HGF,35 (35),0.206,1,0,,4 (4),1,1,0.531,0.786
FAS (CD95) signaling pathway,PID,1,SMPD1,35 (35),0.206,1,0,,1 (2),1,1,0.531,0.786
HGF,INOH,1,HGF,35 (35),0.206,1,0,,2 (2),1,1,0.531,0.786
Keratinization,Reactome,2,PRSS8;DSG3,129 (129),0.207,1,0,,6 (10),1,1,0.533,0.786
Signaling by Interleukins,Reactome,3,IL1RL2;HGF;OSMR,240 (240),0.208,1,0,,4 (7),1,1,0.535,0.786
Lysine metabolism,EHMN,0,,60 (60),1,1,2,HMDB06831;HMDB01325,42 (53),0.209,1,0.537,0.786
RNA Polymerase II Transcription,Reactome,5,CRH;RETN;CTSV;TNFRSF10A;IGFBP3,1306 (1307),0.938,1,2,HMDB00641;HMDB00063,44 (62),0.224,1,0.538,0.786
IGF signaling,INOH,1,IGFBP3,36 (36),0.211,1,0,,3 (4),1,1,0.539,0.786
roles of  arrestin dependent recruitment of src kinases in gpcr signaling,BioCarta,1,CXCL12,36 (36),0.211,1,0,,3 (4),1,1,0.539,0.786
Platelet degranulation ,Reactome,2,HGF;RARRES2,131 (131),0.212,1,0,,9 (9),1,1,0.541,0.786
NCAM1 interactions,Reactome,1,GFRA2,37 (37),0.216,1,0,,1 (3),1,1,0.547,0.786
IL2 signaling events mediated by PI3K,PID,1,SMPD1,37 (37),0.216,1,0,,7 (7),1,1,0.547,0.786
Allograft rejection - Homo sapiens (human),KEGG,1,CD28,37 (38),0.216,1,0,,1 (1),1,1,0.547,0.786
trefoil factors initiate mucosal healing,BioCarta,1,TFF3,37 (37),0.216,1,0,,2 (2),1,1,0.547,0.786
